order,rep_id,prompt,transcript,audio_link,duration_s,headline,coach_focus,clarity_band,structure_band,conciseness_band,thinking_band,pacing_band,tone_band,headline_accurate,coach_focus_right_lever,hallucinated_claim,notes
32,2499ccb0-f956-441d-81bc-7293ad5a6e92,Should you take the job that pays more or the one you'd enjoy more?,"10 people. Like, I'll give them a dollar for every rep they do. So, like, I'll give them, like, $6 for every, you know, daily workout they do. Like, I that could add up to a lot of money. But, honestly, if it does, that's even better. Right? Like That's even better. I kinda really do believe in the product, and I'm willing to invest in it. So I'm willing to kinda pay my people, and I think you guys I don't know. Don't know that's good, but maybe consider it. Mhmm. It's good to do. I like that idea. So And then also, like",https://dunnoccrvrqzsgxsfjuv.supabase.co/storage/v1/object/sign/rep-audio/reps/f9a78ff2-0c55-4923-a766-4cf732706eda/bbf2d7f4-09d4-4312-9565-9740b9bf0771.mp4?token=eyJraWQiOiI5M2JkMzA1YS02MDFkLTQ1OGItOGRhYi03ZDE5MjYyYWUyYWYiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJyZXAtYXVkaW8vcmVwcy9mOWE3OGZmMi0wYzU1LTQ5MjMtYTc2Ni00Y2Y3MzI3MDZlZGEvYmJmMmQ3ZjQtMDlkNC00MzEyLTk1NjUtOTc0MGI5YmYwNzcxLm1wNCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODc5Mjc3NDksImV4cCI6MTc4ODUzMjU0OX0.X7T-onT4InF5CPZDotQMsVtamoVlRMS0A1O1LWIO2_Y,27.2,Your response is cluttered with fillers and lacks a clear structure.,"The response is filled with repetitive language and fillers. Excessive fillers and repetition dilute the message, making it hard for listeners to grasp the main point. Focus on reducing filler words and delivering concise, clear sentences.",,,,,,,,,,
33,1dcbb1e3-79c0-4695-8761-616439493ac6,What's the best advice you'd give someone starting their first job?,"If I was talking to somebody that was starting their first job, obviously, they're walking into an entire world that they haven't experienced yet. But the most important thing to remember is that it's a growth journey along the way. As long as you're taking each day as it comes, learning as much as you can, and trying to grow your professional career, I'd say that that is the most worthwhile aspect of of a job. And it's also important not to overthink things and think too ahead because the moment that you start thinking too ahead, you lose sight of what's happening in the current moment, and it's really easy to get overbared with the things that you wanna do in the grand scheme of things. And it's actually it actually ends up being harder to reach those end goals when your mind is all over the place and not taking one one step at a time.",,69.6,Your advice is clear but needs more structure and depth.,"The response lacks clear transitions between ideas. Without clear transitions, the listener may struggle to follow the logical flow of your advice. Use explicit transitions like 'first', 'next', and 'finally' to guide the listener through your points.",,,,,,,,,,
34,dceacc77-bc9b-4433-9790-b0f7ecca63d5,Explain how to manage your time,"Managing your time is extremely important because we all have busy lives, and we don't have enough time in the day to waste our time on tasks or things that, do not push us forward. And the best strategy to manage your time is to, set an agenda and complete your task, and then at the end of the day, review of what you did.",,38,,,,,,,,,,,,
35,dec30b8d-8576-4ee6-b40d-ffd69df5d7e7,Give a 60-second elevator pitch for your product to a stranger at a conference,"Cognify is a communication training platform that you can use on the Internet or on your cell phone directed at early career professionals, with the hopes that they'll they'll use it to improve, for example, sales communication skills or even relationship communication skills. A lot of people need this and are hungry for this type of feedback and this type of training in an age where human to human communication is simultaneously getting more difficult, more sparse, and with the rise of artificial intelligence, also very important in that it can distinguish candidates from one another. So for example, we have a special function that assists in interviewing, and anybody can prepare a good resume these days. Right? But not everyone can land in an interview, in a way that separates themselves from the rest of the pack. So that's an example of how Cognify can help people.",,80.1,Clarify your main point early and support claims with examples.,"The main point is obscured by abstract language and unresolved pronouns. Listeners need clear, concrete language to understand and engage with your message. Use specific examples and resolve pronouns to clarify your main point.",,,,,,,,,,
36,38a44cb7-1efb-4076-922f-fce389114129,"A kid asks, 'Why do adults complain about Mondays?' Answer what they actually want to know.",They don't like Mondays because start of the work week. Think about school. It matters because people are tired after a weekend. The gap is that you don't work.,,27.5,"Pronouns remain unclear, affecting clarity.",Pronouns like 'they' and terms like 'people' lack specific referents. Unclear references make it difficult for listeners to understand who or what is being discussed. Specify who 'they' refers to and clarify vague terms like 'people' with specific examples.,,,,,,,,,,
37,cc6e5bde-40ec-4edc-815c-8638000ad12c,Tell us the most important thing you learned last year.,"Last year, I learned that living in a large system of people and working in a large system of people is sometimes very difficult because you don't call the shots. Now that matters because sometimes people get out of high school and get out of college, and they're very much in a system that is naturally going to work for them. But afterwards, these systems are, you know, outdated. They don't have the incentives to keep adapting to, you know, young people, and all of a sudden, you're a small fish in a big ocean. Right? Working within those systems is challenging, but it also gives you the discipline to persevere through those systems. And it gives you the incentive, especially as a young person, to try to change them.",,71,"Your ideas are dense and abstract, making clarity a challenge.",Dense and abstract language with unresolved pronouns. Dense language and unresolved pronouns make it hard for listeners to follow your point without re-interpretation. Simplify your language and resolve pronouns to improve clarity.,,,,,,,,,,
38,77b46aa8-f41b-4838-9e17-668690843327,What do you do when you can't sleep?,"When I can't sleep, I take Benadryl. Benadryl knocks me out like a light, and I am able to go to sleep very quickly. I also need to get in a cold space or environment because if I am hot and sweating, I am going to be very uncomfortable and not be able to sleep. And I will just be staying up night at night thinking about my day or whatever else is stressing me out. So it's very important for me to be in a cold environment and to be in a dark place.",https://dunnoccrvrqzsgxsfjuv.supabase.co/storage/v1/object/sign/rep-audio/reps/172be75d-5a22-4064-80d9-4bfe48194eb3/5916e8d0-3d22-420d-b526-d4bb7a789608.mp4?token=eyJraWQiOiI5M2JkMzA1YS02MDFkLTQ1OGItOGRhYi03ZDE5MjYyYWUyYWYiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJyZXAtYXVkaW8vcmVwcy8xNzJiZTc1ZC01YTIyLTQwNjQtODBkOS00YmZlNDgxOTRlYjMvNTkxNmU4ZDAtM2QyMi00MjBkLWI1MjYtZDRiYjdhNzg5NjA4Lm1wNCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODc5Mjc3NDksImV4cCI6MTc4ODUzMjU0OX0.8R6Fg3RivHuh7-utAZXID86cdolX2hm63PtdXGVMj7U,36.2,Your response needs clearer structure and deeper reasoning.,"The response lacks clear transitions between ideas. Transitions help the listener follow your train of thought and understand the connections between points. Use transition words like 'first', 'next', and 'finally' to guide the listener through your response.",,,,,,,,,,
39,a72bc168-b8ab-4351-8bf5-13458508a7cc,Argue that handwritten letters are still worth sending.,"It has been argued that writing handwritten letters is no longer worth it. No longer worth spending the time writing it, putting it in an envelope, bringing it to the mail person, and sending it. However, that is just completely not true because the perception that it's that difficult actually enhances its utility, especially as an emotive piece of writing, an emotive piece of writing in the sense that someone is going to know how much you kind of had to sacrifice to write it when compared to an email or a text or a phone call, it's very easy. So writing something for someone is going to really impact them in a way that the email won't. Whether they read it or even when you open the letter, you feel something.",,71.7,"Your delivery pace is too slow, affecting engagement.",The speech rate was consistently slow at 110 wpm. A slow pace can cause listeners to lose interest and miss key points. Aim to increase your speaking pace to around 150-160 wpm for better engagement.,,,,,,,,,,
40,d378f6e2-e478-438d-a891-bb00a5fc8dec,Name something that's broken about how friends stay in touch and pitch a fix.,"The problem with staying in touch with long distance friends is that you can and mass amount of time can occur, and you don't have a set time per week, per month, or per quarter that you haven't that you meet. And this ultimately makes you fall out of touch with that special person in your life. However, I think it's very important to set a time when you would meet per week, per month, or per quarter, or per year just to catch up, hear how things are going with their lives, share what's going on in your life. And I believe that we should set the first Thursday of every month and just have a conversation about our lives to, stay in touch.",,60.8,Clarify your proposal and use transitions to guide the listener.,"The response lacks clear transitions between the problem and solution. Without clear transitions, the listener may struggle to follow the argument, reducing the effectiveness of the pitch. Use explicit transitions like 'first' and 'then' to connect your points logically.",,,,,,,,,,
41,9f92fd4d-aecf-45ad-92ee-626544f2add8,Describe the most recent compliment that meant something to you and why.,"My new roommate, Mac, told me that I seem like the type of guy who knows names and knows facts about people and history and and the world, it meant a lot to me because, you know, I've act actually tried to build that skill intentionally. I see it as something that, you know, older people whom I respect, I see it as something that they do. You know, you can name movies and know who's in them and and quote the scenes or moments of from history or, you know, events, that are happening nowadays. It's just good to kind of know those fun facts and be like a walking trivia machine. It was nice. And then",,60.8,"Your response lacks structure and clarity, making it hard to follow.","The response lacks a clear opening and closing, making it difficult to follow. A clear structure helps the listener follow your narrative and understand your main point. Start with a clear opening statement to set the direction, and conclude with a summary to reinforce your main point.",,,,,,,,,,
42,a0573223-0ff0-4895-b789-3e637a767a15,Why do humans tell each other stories?,"I'm going to try to use the full word count because it told me last time that I used a 100% of the word count, and yet my yet my answer was too short. So I'm gonna just read through. One way we do this is through telling stories, and stories are really important when you consider the kind of first principles of human social dynamics, which are complex thought of one individual understood by another individual through vibrations of the vocal cords. We tell stories to communicate complex thoughts, allowing one person's ideas to be understood by another through speech. The prompt, why do humans tell each other stories? Suggested framework, PREP. Shuffle, edit, jot notes, see example, hide. Point, reason, example, Point again. Speak clearly. Speak confidently. Stop and submit. Discard rep. Three second countdown, then you're live. Thinking quality day, rep two of three. First principles, the response lacks clear transitions and structured whatever. Why do humans tell each other stories? Why do humans tell each other stories? We tell stories to communicate complex thoughts, allowing one person's ideas to be understood by another through speech.",,119.7,"Transitions are still missing, affecting the structure and clarity.","The response lacks clear transitions and a structured flow. Transitions help guide the listener through the argument, making it easier to follow and understand. Use explicit transitions like 'first', 'next', and 'finally' to connect your points.",,,,,,,,,,
43,a6dfafbe-1b8c-4d30-9f40-0a05d9a48eaf,Tell us which habits are most worth building in your twenties.,"Budgeting, fitness, and meditation are three habits that will get you through your twenties. The reason I say budgeting first is because you're making a lot of money in your twenties, and you finally have some revenue coming in. And it's very important to direct those funds towards the right areas of your of your financial portfolio because if you don't, you won't save money for the future, and you will hate yourself in the future for not putting that money into a savings account. The second is meditation. It is very, important to take time out of your day to think about what you're doing with your life and how you are feeling internally because, ultimately, it helps you stay focused and clear on your goals and help you reach your, your goals. And then finally is meditation. Or finally, the last habit is fitness. It is very important to go to the gym and to take care of your body so you can feel confident internally and do the things that you wanna do externally.",,91.6,"Your structure is clearer, but transitions need work.","Transitions between points are abrupt, affecting the flow. Smooth transitions help the listener follow the argument without effort. Use explicit verbal markers like 'next' or 'finally' to guide the listener.",,,,,,,,,,
44,2fa2181d-3be3-4391-832c-c1c6c2eccf35,Should you stay friends with people you've outgrown?,"You definitely should stay friends with people you've outgrown, and I believe it's very important to not burn bridges. You may need them again at some point in your life. Say, for example, you just got a new job or you're working on on for, yeah, like, a new company, and one of those people that you outgrew also works there and is telling everyone, about how you are to them, and then you look bad. So it's not good to burn bridges. It's good to keep them within your network, but to keep them at a distance.",https://dunnoccrvrqzsgxsfjuv.supabase.co/storage/v1/object/sign/rep-audio/reps/172be75d-5a22-4064-80d9-4bfe48194eb3/65ec9c52-9dcc-4711-a1fa-986e93de9a1a.mp4?token=eyJraWQiOiI5M2JkMzA1YS02MDFkLTQ1OGItOGRhYi03ZDE5MjYyYWUyYWYiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJyZXAtYXVkaW8vcmVwcy8xNzJiZTc1ZC01YTIyLTQwNjQtODBkOS00YmZlNDgxOTRlYjMvNjVlYzljNTItOWRjYy00NzExLWExZmEtOTg2ZTkzZGU5YTFhLm1wNCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODc5Mjc3NDksImV4cCI6MTc4ODUzMjU0OX0.PGya-JxHpk9PTre1XVrmEi3ts0-uORGG8ht4YBb-SKY,42.6,Your argument needs more depth and logical flow to be compelling.,The argument lacks depth and fails to explore different perspectives. Depth and varied perspectives make arguments more compelling and credible. Provide examples and consider counterarguments to enrich your reasoning.,,,,,,,,,,
45,2cfb7fc1-654c-4030-acd7-5c927263ea9f,"Why should we choose you? — Interview at Zebra technologies, I’m currently a sdr right now and it’s to be…. One concrete story with the situation, what YOU did, and the measurable result. Deliver it exactly as you would in the real interview.","I believe I would be a great addition to the team because I have proven that I can consistently hit my quota. I've hit it or exceeded it for the past four quarters in a row, and that is by no accident. I've been able to do that by systematizing my process from the get go and reiterating it reiterating it over and over again to get to me, to get to a point where I'm, you know, finding success. And I've been very intentional about my growth and putting myself in the right situations, talking to the right people, like, within the inside sales hub to learn how they go about their processes. And then also meeting with my mentors on the hardware and software side and really learning, you know, what the customer cares about, figuring out how to best, you know, run a sales cycle. And I feel that I know I have, like, a lot to learn and to develop, but I have a very strong foundation.",https://dunnoccrvrqzsgxsfjuv.supabase.co/storage/v1/object/sign/rep-audio/reps/172be75d-5a22-4064-80d9-4bfe48194eb3/6538871f-6bd3-4340-afb5-09676e23aa19.mp4?token=eyJraWQiOiI5M2JkMzA1YS02MDFkLTQ1OGItOGRhYi03ZDE5MjYyYWUyYWYiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJyZXAtYXVkaW8vcmVwcy8xNzJiZTc1ZC01YTIyLTQwNjQtODBkOS00YmZlNDgxOTRlYjMvNjUzODg3MWYtNmJkMy00MzQwLWFmYjUtMDk2NzZlMjNhYTE5Lm1wNCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODc5Mjc3NDksImV4cCI6MTc4ODUzMjU0OX0.Q0QxYO2_rrMdvU24P2fheUY8hFIeVJm4kPYQ82zby3c,71.9,,Open with a direction-setting sentence so the listener knows where you're going.,,,,,,,,,,
46,fe1b4fd0-ad51-49a3-9b1b-2ae7b49012a5,What's the single most important thing in a friendship?,"Having friendships is good because there's a lot of things to focus about in a friendship, and friendships are generally good. And you wanna understand what the person wants and what they need and also how to convey their emotions to the other person, but it's generally important. Single most important thing is understanding.",,32,"Your structure improved with an opening and close, but clarity still needs work.","The response uses vague language and lacks concrete examples. Concrete language helps the listener understand and remember the key points, making the message more impactful. Use specific examples to illustrate the main point of understanding in friendships.",,,,,,,,,,
47,ba390e63-0e2f-44ca-807a-15dfc3d83d4d,What's the one habit that changed your life the most?,"I'm gonna talk to you about how the habit of waking up early can help you meet more of your personal and professional goals and just make you feel more comfortable about how you're spending your time. Throughout my life, my peers, when I was a kid, the children around me, when I was a teenager, the adolescents around me, now that I'm in my twenties, I've realized that even adults do this. They sleep for, you know, six to nine hours, the recommended amount, but they'll go to bed at midnight, 1AM, and then wake up, very late into the day. And what happens is you're losing so much productive time, time when other people are awake, time when your brain is naturally most active, and therefore, you're losing a significant part of a day every single day. So one habit that you can do is just to wake up earlier. Wake up at six instead of ten gives you four hours every single day.",,73,"Your delivery improved with a well-paced rate, but strategic pauses are still needed.","Filler words slightly disrupt the flow, and pauses are not strategically placed. Strategic pauses help emphasize key points and give the listener time to process information. Use intentional pauses after key points to enhance clarity and engagement.",,,,,,,,,,
48,286dffa2-c6f1-4121-af4a-569e838fefe3,Tell us which habits are most worth building in your twenties.,"Your twenties are some of the most important years of your life, and it's a time to lock in and create the right habits. And these three habits in particular of budgeting, fitness, and meditation will really carry you and give you a solid foundation for what's what's, ahead of, with for the rest of your life. So for the first habit I suggest people build is, budgeting. It's very important to manage all of the new money that you're making and save for the future because if you don't and just spend your money, you will end up regretting it. The second habit is meditation. It is so important to be mindful of what you're doing and how you're going about your day to day because, ultimately, that day to day is what your life will look like for the next, you know, several years. So, meditating and just thinking about who you are and where you're trying to go every single day will really help you for the future. And finally, fitness is a very important habit to keep your body right. Just like in meditation, gotta keep your mind right. You gotta keep your body right so you can feel confident about who you are and to feel good. And so with those three habits in mind, that's how you'll be successful in your twenties.",,93.2,Reduce fillers and deepen reasoning to strengthen your argument.,"The response includes a high rate of filler words which disrupts the flow. Reducing filler words will make your speech more direct and easier for the listener to follow, enhancing the overall impact of your message. Practice delivering your points without fillers, focusing on clear and direct sentences.",,,,,,,,,,
49,f957d5c3-bb3e-4ae2-a5c0-ccebd34181a1,Share what your morning looks like before anyone else is awake.,"Before anyone else is awake, my morning starts slow and then ramps up very quickly. I do the standard things. I brush my teeth. I shower. I eat breakfast. I make my coffee. But I like to get out of the house very early, frankly, as early as possible. One reason is just because my brain works better in the morning. Everybody's does, but mine is particularly early. But I'll leave by six or 06:30 because it's also quite satisfying to be somewhere before everyone else is there. You know, this is the dog mentality. It's the idea that you're putting in more effort than anybody else. It's the movie montage, the the Rocky movie montage or in a sports movie when, you know, there's one guy on the field before everybody else and after everybody else. I love walking into school and having all the lights turn on because I'm the first one there.",,71,"You improved clarity by reducing jargon, but delivery still needs cleaner pauses.","Filler words slightly exceed the target, suggesting room for cleaner pauses. Replacing fillers with pauses can enhance listener engagement and clarity. Practice substituting fillers with intentional pauses at natural breaks.",,,,,,,,,,
50,5dc3d585-1a22-4d37-ad41-13b0e9611951,Tell us the most important thing you learned last year.,"Let's see. What did I learn last year? Alright. So I worked at the National Institutes of Mental Health, and, you know, it was during all of this DOGE, you know, d o g e, Department of Government Efficiency. Shit was going down, and, you know, I was a small fish in a big pond. And so I realized that working within a complex dynamic system, especially an outdated one, you know, where, for example, the EHR was, you know, something called CRISP, the clinical research information system, is really challenging. I mean, it was built on, you know, nineties, early two thousands software, you know, it's really hard to deal with patients like that. But you you couldn't really do anything to change it. Right? So, again, like I said, small fish in a big pond. And this type of thing matters because you gotta learn how to engage with and and challenge the systems that you're in, and kinda not be like a slave to it. Right?",,73.8,Jargon and unresolved pronouns cloud your message's clarity.,High use of jargon and unresolved pronouns. This makes it difficult for the listener to follow and understand your main points. Simplify your language and ensure all pronouns have clear antecedents.,,,,,,,,,,
51,ae4a71d3-9eba-430a-9511-fb6df076b3e2,"I am a hiring manager for your next role. In 60 seconds, tell me why I should hire you.","My name is Hunter Begier, and I work at Zebra Technologies. I'm a sales development representative that recently got promoted to hardware account manager, and I will be specifically focusing on the retail and hospitality verticals. I bring a lot of expertise around relationships and how to navigate a sales cycle. I'm able to move things along and control the sales cycle and bring in new business opportunities as well. Aside from that, I also am the founder of Scoring Together, which is a nonprofit organization that I started in memory of my dad. And we do an event every year that revolves around a charity soccer match, and we've ended up raising $50,000 from doing that. I currently live in Chicago, and I'm excited to learn more about your com",https://dunnoccrvrqzsgxsfjuv.supabase.co/storage/v1/object/sign/rep-audio/reps/fae68f71-c312-47fe-89e8-64233b40d946/8056af60-6560-407d-a4f3-64f00304744f.mp4?token=eyJraWQiOiI5M2JkMzA1YS02MDFkLTQ1OGItOGRhYi03ZDE5MjYyYWUyYWYiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJyZXAtYXVkaW8vcmVwcy9mYWU2OGY3MS1jMzEyLTQ3ZmUtODllOC02NDIzM2I0MGQ5NDYvODA1NmFmNjAtNjU2MC00MDdkLWE0ZjMtNjRmMDAzMDQ3NDRmLm1wNCIsInNjb3BlIjoiZG93bmxvYWQiLCJpYXQiOjE3ODc5Mjc3NDksImV4cCI6MTc4ODUzMjU0OX0.RFxBk2oVvuKa8hOxy_elmyOJziXO5onMrveArNmCSLI,60,Your pitch is clear but lacks a strong closing statement.,The response lacks a strong closing statement that reinforces the main point. A strong closing helps reinforce your message and leaves a lasting impression on the listener. Add a concise closing statement that summarizes your key points and reinforces why you are the ideal candidate.,,,,,,,,,,
52,f2b63042-ce75-4357-a68d-8c06cdc0fa19,Argue from the perspective of someone who loves the food you hate most.,"I can understand why someone loves pickles even though it's the food I hate most. People love the tanginess, the saltiness, and the vinegars and the crunch of a pickle. However, my taste buds just don't configure to it. I have tried to step into the shoes of people that love pickles, and they definitely go on a ton of different things like burgers, and I can see how they can be refreshing, on a sandwich as well. And, someday, my taste buds can figure, and I end up liking pickles.",,51.5,"You partially explored why others enjoy pickles, but depth is still lacking.",The reasoning lacks depth and specific examples to support why others enjoy pickles. Specific examples can make your reasoning more relatable and convincing to the listener. Incorporate specific examples of dishes or scenarios where pickles enhance the experience.,,,,,,,,,,
53,3bc3ca5f-7743-40df-8b52-a4a91b343973,Is reading fiction a better use of time than reading nonfiction?,"Reading fiction is better than reading nonfiction because it gives you the opportunity to come up with your own externalities of points, and It allows you to come up with your own It allows you to come up with your own themes and morals that you're not going to get from nonfiction that is more demonstrative and pedantic and sometimes condescending, telling you exactly what you should think or implying what you should think rather than allowing you to develop your own thoughts. Say you wanna learn, you know, how to live a life, right, which is what people everybody wants to learn. Would you rather read a book about Greek history, or would you rather read The Odyssey? The Odyssey is going to teach you more about dynamics in people, mental constructs. So it's better to read fiction instead of nonfiction.",,106.6,"Your argument lacks structure and clarity, making it hard to follow.","The response lacks a clear opening and logical flow. A clear opening helps the listener understand the direction and purpose of your argument, making it easier to follow. Start with a clear opening statement that outlines your main point and use transitions to connect your ideas logically.",,,,,,,,,,
54,38d60043-c81e-462d-97e0-cbf573bf6bdd,Explain how naming a feeling reduces its grip,"Naming a feeling reduces its grip by allowing the person to release some held up aggression or release whatever feelings that they were internalizing, allowing it to release from the person.",,24.7,,,,,,,,,,,,
55,4e2afb63-baef-478a-afa2-72c06a15aaab,Share three things you used to believe about adulthood that turned out to be wrong.,"Three things that I used to believe about adulthood that turned out to be wrong are the fact that you need to do something by a certain playbook. You need to do something that somebody else has done before and paved the path for. Another thing is that you are limited by the amount of choices that you have. And the third thing is that you are not bound by anything when you become an adult. The same things that bounded you when you were a kid, like your family, your friends, your relationships are still things that are prevalent as you become an adult, and they don't just phase away with age. And then the other part with the fact that you're bound to a specific path and doing something that somebody did before you is also inaccurate because in today's day and world, there's so much content out there to be consumed. So if you wanna learn something and be able to do it, the only thing stopping you is yourselves.",,74.4,Your reasoning lacks depth; add examples to support your claims.,"You stated beliefs about adulthood without providing supporting examples or reasoning. Without examples or reasoning, your claims lack credibility and persuasive power, making it harder for the listener to connect with your points. In your next response, include specific examples or reasoning to support each belief you discuss.",,,,,,,,,,
56,2bf3c041-a3c3-4b29-a935-846437f1f0da,Argue from the perspective of someone who loves the food you hate most.,"Stepping into the shoes of someone who loves the food I hate most, I understand where they're coming from when it comes to pickles. I hate pickles because of the taste and the texture. And I've tried to like them from my whole life, but my taste buds just do not configure to what they taste like to other people. My girlfriend, on the other hand, loves pickles and lives and dies by them. However, I just don't feel that way, and that's okay because she's probably feeling a party in her mouth, and, it's just something that I'm not experiencing.",,49.4,Your reasoning is surface-level; explore why others love pickles.,"The response mainly expresses personal dislike without exploring why others might love pickles. Understanding and articulating the reasons behind others' preferences can deepen your argument and make it more persuasive. Consider why others might enjoy pickles, such as their flavor profile or cultural significance, and incorporate these insights.",,,,,,,,,,
57,cd696e59-d890-443d-bc2c-7d45b8f81dcd,Tell a younger sibling what you wish you'd learned earlier in life.,"Something I wish I knew when I was your age was that agency is really the point of a lot of the advice and especially the cliche advice that young people receive. Take, for example, be yourself. You're gonna hear that a lot as you're growing up, but, really, that's about agency. And you hear it so often that it kind of loses its meaning, but be be yourself. It means to act as you would under all circumstances regardless of the conditions surrounding you. Same with have fun. Right? Having fun in your activities is really about agency. It's saying that I take responsibility for what I'm doing, and therefore, nothing feels forced. Nothing feels bad. It it it should feel fun. Another one is follow your dreams. It's a piece of cliche advice, but really it's about agency. And so try to tie a lot of these a lot of the advice that you're going to hear throughout your adolescence to agency and think about how you can be a more powerful person, more committed to yourself throughout your life.",,86.5,Clarify the concept of agency with concrete examples for better understanding.,"The response uses abstract terms like 'agency' without concrete examples. Concrete examples help the listener understand and relate to abstract concepts, especially for younger audiences. Provide specific examples that illustrate what 'agency' looks like in everyday situations.",,,,,,,,,,
58,cf15d7cc-e874-46b4-8fe7-464a9ecf327c,What's the single best decision you've made in the last five years?,"The single best decision I've made in the last five years is joining Zebra Technologies. I had no idea what to expect going from college to the real world, and I was very scared at the time because I don't know how anything was going to go. But I joined Zebra Technologies, and it opened up a world of possibilities for me to grow professionally. And I've also met some amazing people along the way. And I am so grateful for the opportunity to learn here and grow. I just got a promotion recently, and I hope to continue the momentum moving forward.",,45.6,"Your decision to join Zebra is clear, but more depth would strengthen your reasoning.",You stated your decision but didn't provide detailed reasoning or examples to support it. Providing specific examples and reasoning helps the listener understand the impact and significance of your decision. Include concrete examples or stories that illustrate how joining Zebra has benefited you.,,,,,,,,,,
59,d619a583-8fcd-4408-bd1a-edd6f5c0634a,Make the best argument for going to bed at 9pm every night.,"The pattern ran generation to generation to a seasoned geneticist. This trend meant the gay gene had to be carried on the X chromosome. Amer could see it now in his mind's eye, an inherited element passing between generations like a shadowy presence, nowhere near as penetrant as the typical cystic fibrosis or Huntington's gene mutations, but inevitably tracking the trail of the X chromosome. In a typical family tree, a great uncle might be identified as potentially family histories were often vague. The historical closet was substantially darker than the current sexual closet, but Hamer had collected data from occasional families where sexual identity was known to known up to two to three generations.",,66.9,"Your argument lacks support and clarity, making it hard to follow.","The argument lacks clear claims and supporting evidence. Without clear claims and evidence, the listener cannot follow or be convinced by the argument. State a clear claim and support it with specific reasons or examples.",,,,,,,,,,
60,f39b18b3-4986-444f-9211-f3233ef58bae,Share what your morning looks like before anyone else is awake.,"Before anyone else is awake, my day is slow and then ramps up very quickly. I actually really enjoy when everyone else is asleep because it makes me have more dog mentality, for lack of a better term, in my life. So I'll shower. I'll eat breakfast, the normal things. And I try to get out of the house by 06:30 and try to get to school before anyone else is here. Even this morning, I was thinking how satisfying it is to walk into the lounge or walk into a classroom and the lights turn on because no one else has been there that day. You are the first person at school. It's a very motivating factor almost like, you know, you're in, like, the med school Rocky movie montage where you're putting more work in than everyone else.",,73.5,Clarify terms like 'dog mentality' for better listener understanding.,"Using terms like 'dog mentality' without explanation. Unexplained terms can confuse listeners and obscure your main point. Define or replace jargon with clear, audience-friendly language.",,,,,,,,,,
